module_color,kME_mean,kME_median,kWithin_mean,module_size
turquoise,0.7775270547561716,0.8748388286923275,147.42817589705453,279
brown,0.7572244314351083,0.858563307130091,143.65174844815607,277
blue,0.8169656821605066,0.8529997588097548,143.0389930927655,256
yellow,0.7704916279961217,0.808286989008905,132.35178796998522,236
red,0.7460561242184841,0.7629506914006505,17.03920801749585,28
black,0.580257134896788,0.6424219774984601,8.289113339207997,18
