module_color,kME_mean,kME_median,kWithin_mean,module_size
blue,0.8074634418382635,0.8720780848506839,10.312756590662774,514
black,0.7750402004958047,0.8067427789266164,4.795188487930643,467
darkgreen,0.8303196043649598,0.867569804626803,6.720596634111563,428
grey,0.10870977357465664,0.13386602673313241,0.05209656823672482,398
darkmagenta,0.8255587754121246,0.8623397777217592,5.234534899198029,393
darkolivegreen,0.8684498608385516,0.8856901173133244,1.2998438959770644,16
