ROI_ID,hyperedge_0,hyperedge_1,hyperedge_2,hyperedge_3,hyperedge_4,hyperedge_5,hyperedge_6,hyperedge_7,hyperedge_8
ROI_90,0,1,0,0,0,1,1,0,0
ROI_91,0,1,0,0,0,1,1,0,0
ROI_92,0,1,0,0,0,0,1,0,0
ROI_93,0,1,0,0,0,0,1,0,0
ROI_94,0,1,0,0,0,0,0,0,1
ROI_95,0,1,0,0,0,1,1,0,0
ROI_96,0,1,0,0,0,1,1,0,0
ROI_97,0,1,0,0,0,1,1,0,0
ROI_98,0,1,0,0,0,0,0,0,0
ROI_99,0,1,0,0,0,0,0,0,0
ROI_100,0,1,0,0,0,0,1,0,0
ROI_101,0,1,0,0,0,0,1,0,0
ROI_102,0,1,0,0,0,0,0,0,0
ROI_103,0,1,0,0,0,0,0,0,0
ROI_104,0,1,0,0,0,0,0,0,0
ROI_105,0,1,0,0,0,0,0,0,0
ROI_106,0,1,0,0,0,0,0,0,0
ROI_107,0,1,0,0,0,0,0,0,0
ROI_108,0,1,0,0,0,0,0,0,1
ROI_109,0,1,0,0,0,1,0,1,1
ROI_110,0,1,0,0,0,0,0,1,0
ROI_111,0,1,0,0,0,1,1,1,1
ROI_112,0,1,0,0,0,0,1,0,0
ROI_113,1,0,0,1,0,0,0,0,0
ROI_114,1,0,0,0,0,0,0,0,0
ROI_115,0,1,0,0,0,1,0,1,0
