,module_color,kME_in_own_module,kWithin
Gene.1,black,0.5328765953945315,14.298396144600064
Gene.2,black,0.783542872947536,13.419715758256494
Gene.3,brown,0.7597050736367958,10.843377559853225
Gene.4,black,0.04195734938694578,0.2961926767175642
Gene.5,brown,0.8814328398925124,21.57197560840499
Gene.6,black,0.9687529662367625,0.4239903171362055
Gene.7,black,0.9324370606541323,0.2426358454780722
Gene.8,brown,0.9770239878805357,0.6431729431437668
Gene.9,brown,0.9117608585171079,44.24885816220658
Gene.10,brown,0.9366190763310261,0.27636421459077853
Gene.11,brown,0.9144078245583513,1.2057127014030598
Gene.12,brown,0.9092267516916248,11.594421124337359
Gene.13,brown,0.7934493342425427,11.442701493805153
Gene.14,brown,0.9244387209469797,17.83548613886162
Gene.15,black,0.8760796095208674,1.6210450125628793
Gene.16,brown,0.927450473830486,31.70849131393414
Gene.17,black,0.7150867669213958,6.433970483608234
Gene.18,antiquewhite4,0.7260151447691072,2.722820228604444
Gene.19,grey,-0.9115856181085695,0.014323230718031868
Gene.20,black,0.903337950791109,28.711940396514564
Gene.21,black,0.9014815081088041,9.013801360013291
Gene.22,brown,0.9476563801632194,1.1103754231329865
Gene.23,antiquewhite4,0.7390909655458732,12.346585625467736
Gene.24,brown,0.9640249863882818,0.5599642196495482
Gene.25,brown,0.9821269151299105,2.229774722692736
Gene.26,brown,0.6350189831572162,8.828528110582443
Gene.27,black,0.8371853729483792,7.377449553433683
Gene.28,brown,0.8878553284838548,36.96570394565523
Gene.29,black,0.9686073277214613,2.2478349922963647
Gene.30,black,0.8792525020219641,2.121280859343669
Gene.31,black,0.8271429470615586,8.140358660476185
Gene.32,brown,0.9019266109884092,31.593037849020572
Gene.33,brown,0.8837852385720975,30.058694696345405
Gene.34,brown,0.8369146081405933,15.734680232283866
Gene.35,black,0.8295521873171188,16.6717161644662
Gene.36,antiquewhite4,0.8131338898329092,10.97586952901058
Gene.37,antiquewhite4,0.9238693066929874,1.172092620935537
Gene.38,antiquewhite4,0.7417323211621185,2.1066508760838865
Gene.39,brown,0.7985969002500296,18.744528118222753
Gene.40,black,0.9663746543625497,2.460074671412213
Gene.41,black,0.7963834908142137,7.002549259106806
Gene.42,black,0.9157114082160601,0.6430285424512808
Gene.43,black,0.9291855175329908,3.2229305465264884
Gene.44,antiquewhite4,0.7183449486488985,3.1469145292378005
Gene.45,brown,0.7639104370084129,16.095320374029768
Gene.46,black,0.9603927901219825,18.27150856799337
Gene.47,brown,0.9659138372746341,2.9870127965330315
Gene.48,antiquewhite4,0.8593839909578693,0.6278389615545308
Gene.49,black,0.8963203964885327,0.5248132736362363
Gene.50,black,0.886624930741767,1.7027645078398088
Gene.51,brown,0.4454764764554006,1.5056769305722266
Gene.52,black,0.5655749596606295,10.649266051942579
Gene.53,black,0.8180073805838338,4.916014641731868
Gene.54,black,0.7642773359581727,26.601538761860834
Gene.55,black,0.5325241873488585,3.9819975838950534
Gene.56,brown,0.7263782507454561,18.60027544355464
Gene.57,black,0.6362632806402425,15.681153719724913
Gene.58,black,0.8891583660373091,28.79895980288845
Gene.59,black,0.8486464958545575,13.672179319545668
Gene.60,black,0.8377981895411422,12.882428816579951
Gene.61,antiquewhite4,0.8744168240873038,6.339026542116338
Gene.62,antiquewhite4,0.6863891030548411,3.0077888724759307
Gene.63,brown,0.902731308610457,38.59995298443101
Gene.64,antiquewhite4,0.7896037080829638,2.8000520575898125
Gene.65,black,0.8859789642510997,22.85691662249777
Gene.66,black,0.5035097199778609,4.821740884620606
Gene.67,black,0.8720349957060022,16.695997287491195
Gene.68,brown,0.8972811538262918,37.61863230593725
Gene.69,black,-0.8690242946118959,0.17288655620774734
Gene.70,brown,0.9476158022200147,5.3469832786472455
Gene.71,black,0.8686517539801016,8.850241531408189
Gene.72,antiquewhite4,0.7753760576002302,5.482225087456246
Gene.73,grey,-0.9474507381955486,0.009759580109606461
Gene.74,black,0.7088931673257707,12.541321268734581
Gene.75,brown,0.9631190421463186,2.5219903614507735
Gene.76,black,0.7845328293401369,15.402994229527925
Gene.77,brown,0.9474282701600868,51.316256458069674
Gene.78,brown,0.5291552659689679,7.549049241047888
Gene.79,brown,0.9566014548778368,1.9843318432821806
Gene.80,black,0.9491850414633041,0.17106150732086456
Gene.81,brown,0.8772554941065391,10.237469946177535
Gene.82,brown,0.9409081423399485,24.641079217346377
Gene.83,brown,0.9333391805391867,0.8685457392487098
Gene.84,brown,0.9365760876393495,0.5790197763584103
Gene.85,black,0.925110795110592,4.326480743203299
Gene.86,brown,0.9539051382853271,5.886771346553111
Gene.87,brown,0.9336450180764041,11.69489007438371
Gene.88,black,0.7942058132703631,15.92318109925422
Gene.89,black,0.9050836408235635,2.290214991453637
Gene.90,brown,0.8575077337695223,2.576220313581003
Gene.91,black,0.9244152631553009,19.597862853828044
Gene.92,brown,0.9365934556680017,28.07273250971836
Gene.93,antiquewhite4,0.6268401926197054,2.3900687204895306
Gene.94,brown,0.851827744668387,20.952270985359306
Gene.95,black,0.8752768309752171,31.63341539918808
